KÓD,MÌSTO,VOLIÈI V SEZNAMU,VYDANÉ OBALKY,PLATNÉ HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
541648,Branky,771,455,453,"5,51","0,00","0,00","3,97",nekandiduje,"0,00","3,09","9,27","1,32","0,88",nekandiduje,"0,88","0,00","0,00","11,25",nekandiduje,nekandiduje,nekandiduje,"0,00","4,63","34,43","0,00","0,22","8,16",nekandiduje,"0,22","1,10","0,00","14,79","0,22",nekandiduje
541711,Bystøièka,814,549,543,"13,99","0,36","0,00","6,44",nekandiduje,"0,18","4,78","3,68","1,84","0,92",nekandiduje,"1,10","0,00","0,18","10,49",nekandiduje,nekandiduje,nekandiduje,"0,18","3,86","33,33","0,00","0,18","5,89",nekandiduje,"0,18","0,55","0,18","11,23","0,36",nekandiduje
541800,Dolní Beèva,1 551,945,942,"9,34","0,00","0,00","7,96",nekandiduje,"0,00","3,92","5,73","0,74","0,74",nekandiduje,"1,06","0,00","0,21","8,38",nekandiduje,nekandiduje,nekandiduje,"0,00","3,07","27,28","0,10","0,10","18,15",nekandiduje,"0,63","0,10","0,21","11,99","0,21",nekandiduje
542644,Francova Lhota,1 305,761,757,"8,85","0,00","0,00","5,54",nekandiduje,"0,00","5,68","5,15","1,32","1,32",nekandiduje,"2,77","0,13","0,26","8,85",nekandiduje,nekandiduje,nekandiduje,"0,00","2,37","22,98","0,13","0,13","19,94",nekandiduje,"0,26","0,13","0,26","12,94","0,92",nekandiduje
542679,Halenkov,1 909,1 046,1 041,"9,41","0,09","0,00","11,91",nekandiduje,"0,00","2,49","6,91","1,05","0,76",nekandiduje,"1,05","0,09","0,28","6,34",nekandiduje,nekandiduje,nekandiduje,"0,00","3,17","24,97","0,00","0,09","17,57",nekandiduje,"0,48","0,09","0,57","12,39","0,19",nekandiduje
542687,Horní Beèva,2 119,1 277,1 271,"9,67","0,00","0,00","7,39",nekandiduje,"0,00","5,19","6,05","1,10","1,10",nekandiduje,"2,51","0,23","0,15","8,41",nekandiduje,nekandiduje,nekandiduje,"0,07","1,96","27,61","0,23","0,07","9,59",nekandiduje,"1,02","0,23","0,00","17,07","0,23",nekandiduje
542725,Horní Lideè,1 099,725,717,"5,85","0,13","0,00","5,29",nekandiduje,"0,00","3,48","4,18","1,81","0,13",nekandiduje,"1,25","0,00","0,00","8,22",nekandiduje,nekandiduje,nekandiduje,"0,00","2,09","24,40","0,00","0,27","29,70",nekandiduje,"0,27","0,27","0,13","11,57","0,83",nekandiduje
542750,Hošálková,1 766,1 046,1 041,"10,18","0,00","0,00","5,18",nekandiduje,"0,00","6,14","5,37","0,86","0,57",nekandiduje,"1,34","0,38","0,19","7,20",nekandiduje,nekandiduje,nekandiduje,"0,00","1,63","27,66","0,09","0,09","10,95",nekandiduje,"0,38","0,38","0,09","20,84","0,38",nekandiduje
542768,Hovìzí,1 927,1 196,1 187,"8,17","0,00","0,16","6,14",nekandiduje,"0,08","11,03","6,23","0,84","1,43",nekandiduje,"0,84","0,00","0,16","6,23",nekandiduje,nekandiduje,nekandiduje,"0,00","0,92","27,37","0,00","0,08","17,43",nekandiduje,"0,16","0,16","0,25","12,13","0,08",nekandiduje
542784,Huslenky,1 816,1 013,1 008,"7,83","0,09","0,09","9,52",nekandiduje,"0,29","5,75","5,55","0,69","0,99",nekandiduje,"1,38","0,09","0,29","8,73",nekandiduje,nekandiduje,nekandiduje,"0,00","2,57","24,30","0,09","0,19","15,27",nekandiduje,"0,29","0,09","0,19","15,37","0,19",nekandiduje
542814,Hutisko-Solanec,1 607,1 006,991,"9,88","0,20","0,00","6,45",nekandiduje,"0,00","4,74","8,27","1,31","0,50",nekandiduje,"1,10","0,00","0,20","6,76",nekandiduje,nekandiduje,nekandiduje,"0,00","1,81","29,76","0,10","0,10","14,93",nekandiduje,"1,00","1,00","0,10","11,30","0,40",nekandiduje
542831,Chorynì,599,359,357,"8,12","0,28","0,28","7,00",nekandiduje,"0,00","3,08","7,56","0,84","0,56",nekandiduje,"1,68","0,28","0,28","8,96",nekandiduje,nekandiduje,nekandiduje,"0,28","1,96","33,33","0,00","0,00","11,48",nekandiduje,"0,84","0,00","0,28","12,32","0,56",nekandiduje
542865,Jablùnka,1 647,1 004,998,"11,32","0,00","0,10","6,61",nekandiduje,"0,00","5,41","5,81","1,40","0,50",nekandiduje,"1,80","0,30","0,30","11,12",nekandiduje,nekandiduje,nekandiduje,"0,00","1,80","27,95","0,00","0,40","7,91",nekandiduje,"1,30","0,40","0,20","14,82","0,50",nekandiduje
570346,Janová,609,375,374,"15,50","0,80","0,00","5,61",nekandiduje,"0,00","7,75","6,41","0,80","0,53",nekandiduje,"2,67","0,53","0,26","8,82",nekandiduje,nekandiduje,nekandiduje,"0,00","1,33","26,20","0,00","0,53","7,21",nekandiduje,"1,06","0,26","0,26","12,56","0,80",nekandiduje
542903,Jarcová,675,405,402,"9,20","0,00","0,00","9,95",nekandiduje,"0,24","5,22","3,98","1,24","1,24",nekandiduje,"0,74","0,00","0,00","12,18",nekandiduje,nekandiduje,nekandiduje,"0,00","2,23","33,83","0,24","0,00","7,21",nekandiduje,"0,24","0,00","0,00","11,94","0,24",nekandiduje
542911,Karolinka,2 161,1 179,1 172,"8,70","0,08","0,25","10,83",nekandiduje,"0,08","3,32","9,21","1,19","0,76",nekandiduje,"1,70","0,00","0,08","6,14",nekandiduje,nekandiduje,nekandiduje,"0,08","1,53","28,15","0,00","0,17","10,15",nekandiduje,"0,17","0,17","0,08","16,72","0,34",nekandiduje
542946,Kateøinice,834,487,483,"9,10","0,00","0,00","5,59",nekandiduje,"0,00","9,31","7,03","1,44","1,24",nekandiduje,"2,07","0,41","0,00","6,62",nekandiduje,nekandiduje,nekandiduje,"0,00","2,27","26,29","0,00","0,00","8,28",nekandiduje,"0,00","0,82","0,00","19,04","0,41",nekandiduje
542989,Kelè,2 091,1 386,1 380,"5,28","0,14","0,07","4,71",nekandiduje,"0,21","4,85","6,37","0,43","0,43",nekandiduje,"0,94","0,14","0,00","6,30",nekandiduje,nekandiduje,nekandiduje,"0,00","1,95","34,92","0,00","0,07","20,65",nekandiduje,"0,28","0,07","0,14","11,73","0,21",nekandiduje
542997,Kladeruby,354,208,208,"8,17","0,00","0,00","6,25",nekandiduje,"0,48","3,36","7,69","0,96","1,92",nekandiduje,"0,48","0,00","0,00","6,25",nekandiduje,nekandiduje,nekandiduje,"0,00","1,92","39,90","0,00","0,96","13,94",nekandiduje,"0,96","0,00","0,00","6,73","0,00",nekandiduje
500062,Krhová,1 616,1 034,1 031,"10,76","0,19","0,09","4,46",nekandiduje,"0,19","2,61","4,65","0,48","1,55",nekandiduje,"3,00","0,09","0,19","8,34",nekandiduje,nekandiduje,nekandiduje,"0,09","1,93","37,92","0,09","0,00","10,18",nekandiduje,"0,67","0,00","0,29","12,02","0,09",nekandiduje
543021,Kunovice,498,357,355,"3,94","0,00","0,00","4,78",nekandiduje,"0,28","4,22","10,14","0,28","0,00",nekandiduje,"1,12","0,00","0,00","12,95",nekandiduje,nekandiduje,nekandiduje,"0,00","1,40","35,21","0,00","0,00","12,11",nekandiduje,"0,56","0,28","0,28","12,11","0,28",nekandiduje
543098,Laènov,679,430,422,"4,26","0,23","0,00","7,10",nekandiduje,"0,00","4,50","4,97","0,47","1,18",nekandiduje,"1,89","0,23","0,00","6,39",nekandiduje,nekandiduje,nekandiduje,"0,23","2,84","21,80","0,23","0,47","33,88",nekandiduje,"0,23","0,23","0,00","8,53","0,23",nekandiduje
544264,Leskovec,553,289,286,"9,44","0,34","0,00","6,99",nekandiduje,"0,69","11,18","4,89","0,69","0,69",nekandiduje,"1,39","0,00","0,00","9,44",nekandiduje,nekandiduje,nekandiduje,"0,00","1,74","28,32","0,00","0,00","7,69",nekandiduje,"0,34","0,00","1,04","13,98","1,04",nekandiduje
544302,Lešná,1 645,1 074,1 061,"7,25","0,00","0,00","6,31",nekandiduje,"0,00","3,20","6,03","0,75","0,65",nekandiduje,"0,94","0,09","0,09","11,21",nekandiduje,nekandiduje,nekandiduje,"0,00","3,20","37,51","0,00","0,18","11,78",nekandiduje,"0,28","0,00","0,18","9,61","0,65",nekandiduje
556866,Lhota u Vsetína,639,381,381,"12,33","0,52","0,26","6,03",nekandiduje,"0,00","9,97","6,29","1,83","0,78",nekandiduje,"3,67","0,26","0,00","11,28",nekandiduje,nekandiduje,nekandiduje,"0,52","2,36","21,25","0,00","0,52","4,46",nekandiduje,"0,26","0,52","0,00","16,53","0,26",nekandiduje
544370,Lideèko,1 436,916,913,"4,27","0,21","0,00","2,84",nekandiduje,"0,10","2,08","2,62","0,65","0,65",nekandiduje,"1,09","0,00","0,00","5,80",nekandiduje,nekandiduje,nekandiduje,"0,00","1,42","22,01","0,10","0,21","46,65",nekandiduje,"0,10","0,00","0,10","8,98","0,00",nekandiduje
544396,Liptál,1 205,719,714,"10,92","0,14","0,00","6,16",nekandiduje,"0,28","6,02","4,34","1,26","0,56",nekandiduje,"3,22","0,00","0,00","8,68",nekandiduje,nekandiduje,nekandiduje,"0,14","3,08","24,92","0,00","0,42","7,28",nekandiduje,"0,56","0,00","0,14","21,00","0,84",nekandiduje
544418,Louèka,637,406,403,"10,17","0,24","0,00","4,71",nekandiduje,"0,00","7,69","5,45","0,74","0,49",nekandiduje,"1,73","0,74","0,24","3,72",nekandiduje,nekandiduje,nekandiduje,"0,00","2,97","39,70","0,00","0,24","7,69",nekandiduje,"0,49","0,24","0,24","12,15","0,24",nekandiduje
544434,Luná,502,310,310,"2,58","0,00","0,00","4,19",nekandiduje,"0,00","8,70","6,45","0,96","1,29",nekandiduje,"0,64","0,00","0,00","6,45",nekandiduje,nekandiduje,nekandiduje,"0,00","1,61","27,74","0,00","0,32","23,87",nekandiduje,"0,32","0,00","0,00","14,51","0,32",nekandiduje
544469,Malá Bystøice,276,184,183,"6,55","0,00","0,00","11,47",nekandiduje,"0,00","4,91","8,74","0,54","1,63",nekandiduje,"2,73","0,00","0,54","13,11",nekandiduje,nekandiduje,nekandiduje,"0,00","4,91","25,13","0,00","0,00","10,38",nekandiduje,"0,00","1,09","0,00","8,19","0,00",nekandiduje
544507,Mikulùvka,601,349,346,"11,84","0,00","0,57","5,49",nekandiduje,"0,00","6,35","6,64","2,60","0,00",nekandiduje,"1,73","0,28","0,00","9,53",nekandiduje,nekandiduje,nekandiduje,"0,00","5,49","26,30","0,00","0,00","6,35",nekandiduje,"0,57","0,28","0,28","15,02","0,57",nekandiduje
544566,Novı Hrozenkov,2 173,1 115,1 110,"10,54","0,09","0,09","12,34",nekandiduje,"0,09","3,33","5,22","1,44","0,63",nekandiduje,"1,80","0,18","0,18","6,21",nekandiduje,nekandiduje,nekandiduje,"0,18","2,70","20,27","0,00","0,27","18,91",nekandiduje,"0,45","0,18","0,18","13,69","0,99",nekandiduje
544574,Oznice,370,285,283,"7,42","0,00","0,00","5,30",nekandiduje,"0,00","6,36","3,53","0,70","0,70",nekandiduje,"2,12","0,00","0,00","10,95",nekandiduje,nekandiduje,nekandiduje,"0,00","2,47","37,10","0,00","0,00","8,83",nekandiduje,"0,35","0,00","0,00","14,13","0,00",nekandiduje
569496,Podolí,200,113,113,"4,42","0,00","0,00","9,73",nekandiduje,"0,00","6,19","7,96","0,88","0,00",nekandiduje,"5,30","0,00","0,00","0,00",nekandiduje,nekandiduje,nekandiduje,"0,00","0,88","34,51","0,00","0,00","15,92",nekandiduje,"0,88","0,00","0,00","13,27","0,00",nekandiduje
544621,Police,445,279,277,"7,94","0,00","0,36","3,61",nekandiduje,"0,00","5,77","4,33","0,36","1,44",nekandiduje,"0,72","0,00","0,00","11,55",nekandiduje,nekandiduje,nekandiduje,"0,36","1,08","33,93","0,00","0,00","12,99",nekandiduje,"0,00","0,00","0,00","15,16","0,36",nekandiduje
500071,Polièná,1 443,959,954,"11,11","0,00","0,20","6,39",nekandiduje,"0,20","3,87","6,49","0,73","1,25",nekandiduje,"1,67","0,31","0,10","7,75",nekandiduje,nekandiduje,nekandiduje,"0,10","3,35","34,17","0,10","0,10","8,70",nekandiduje,"0,31","0,20","0,31","12,26","0,20",nekandiduje
544655,Pozdìchov,489,305,303,"4,95","0,33","0,00","3,96",nekandiduje,"0,00","10,89","9,57","1,65","1,65",nekandiduje,"0,33","0,00","0,00","7,59",nekandiduje,nekandiduje,nekandiduje,"0,00","0,00","24,75","0,66","0,00","19,47",nekandiduje,"1,32","0,00","0,00","11,88","0,99",nekandiduje
544671,Prlov,443,271,270,"2,96","0,00","0,00","13,33",nekandiduje,"0,00","8,14","13,70","1,85","1,48",nekandiduje,"2,59","0,00","0,00","3,33",nekandiduje,nekandiduje,nekandiduje,"0,00","1,11","31,85","0,00","0,74","6,29",nekandiduje,"0,00","0,37","0,37","11,48","0,37",nekandiduje
544698,Prostøední Beèva,1 456,943,938,"8,42","0,00","0,00","4,79",nekandiduje,"0,10","3,73","5,01","0,42","0,31",nekandiduje,"1,81","0,00","0,00","6,92",nekandiduje,nekandiduje,nekandiduje,"0,00","2,13","34,11","0,00","0,21","11,83",nekandiduje,"1,06","0,21","0,53","17,69","0,63",nekandiduje
544728,Prno,518,323,323,"10,52","0,30","0,00","5,88",nekandiduje,"0,30","4,64","7,43","2,47","0,00",nekandiduje,"0,92","0,00","0,30","6,19",nekandiduje,nekandiduje,nekandiduje,"0,00","3,09","29,10","0,00","0,61","10,21",nekandiduje,"2,16","0,00","0,30","14,55","0,92",nekandiduje
544787,Ratiboø,1 496,915,909,"14,19","0,33","0,00","7,81",nekandiduje,"0,00","5,94","5,94","0,99","1,21",nekandiduje,"1,65","0,00","0,11","7,37",nekandiduje,nekandiduje,nekandiduje,"0,00","2,64","28,71","0,22","0,11","6,60",nekandiduje,"0,77","0,22","0,22","13,86","1,10",nekandiduje
544841,Ronov pod Radhoštìm,13 759,8 366,8 313,"12,12","0,13","0,04","6,15",nekandiduje,"0,03","4,46","4,21","2,26","0,64",nekandiduje,"1,45","0,08","0,07","11,17",nekandiduje,nekandiduje,nekandiduje,"0,07","3,30","30,31","0,06","0,15","8,16",nekandiduje,"0,91","0,26","0,14","13,32","0,39",nekandiduje
544850,Rùïka,760,424,422,"8,29","0,00","0,23","6,87",nekandiduje,"0,94","8,05","5,92","0,71","1,18",nekandiduje,"1,42","0,23","0,47","9,71",nekandiduje,nekandiduje,nekandiduje,"0,00","3,08","31,27","0,23","0,00","9,00",nekandiduje,"0,00","0,23","0,00","11,61","0,47",nekandiduje
544906,Seninka,251,158,157,"19,74","0,00","0,00","7,00",nekandiduje,"0,00","8,28","8,28","6,36","1,27",nekandiduje,"0,63","0,00","0,00","5,73",nekandiduje,nekandiduje,nekandiduje,"0,00","1,27","29,29","0,00","3,18","0,63",nekandiduje,"0,00","0,00","0,00","7,64","0,63",nekandiduje
544914,Støelná,495,283,281,"9,60","0,35","0,00","10,32",nekandiduje,"0,00","2,49","7,11","1,06","0,35",nekandiduje,"1,77","0,00","0,00","3,55",nekandiduje,nekandiduje,nekandiduje,"0,00","0,35","22,77","0,00","0,71","25,62",nekandiduje,"0,00","0,00","0,00","13,87","0,00",nekandiduje
544922,Støíte nad Beèvou,691,451,451,"7,98","0,00","0,00","10,19",nekandiduje,"0,44","7,53","5,32","1,99","1,10",nekandiduje,"1,10","0,44","0,44","7,53",nekandiduje,nekandiduje,nekandiduje,"0,22","2,43","31,26","0,22","0,00","10,64",nekandiduje,"0,00","0,22","0,22","10,64","0,00",nekandiduje
544931,Študlov,433,272,272,"7,72","0,00","0,00","2,94",nekandiduje,"0,00","4,41","4,41","0,73","1,10",nekandiduje,"3,67","0,00","0,00","6,61",nekandiduje,nekandiduje,nekandiduje,"0,00","2,57","19,48","0,00","0,36","30,88",nekandiduje,"0,00","0,36","0,00","14,33","0,36",nekandiduje
570371,Ústí,507,309,307,"14,33","0,00","0,65","9,12",nekandiduje,"0,32","8,79","3,90","0,65","1,62",nekandiduje,"0,97","0,00","1,30","6,84",nekandiduje,nekandiduje,nekandiduje,"0,00","1,30","31,92","0,65","0,00","7,49",nekandiduje,"0,32","0,00","0,65","9,12","0,00",nekandiduje
544949,Valašská Bystøice,1 843,1 098,1 094,"7,76","0,00","0,00","8,95",nekandiduje,"0,09","3,47","4,20","1,18","0,45",nekandiduje,"1,27","0,18","0,09","9,04",nekandiduje,nekandiduje,nekandiduje,"0,00","2,74","27,05","0,00","0,18","21,66",nekandiduje,"0,36","0,27","0,09","10,60","0,27",nekandiduje
544990,Valašská Polanka,1 164,715,707,"4,95","0,28","0,00","3,81",nekandiduje,"0,00","9,90","4,52","0,84","1,69",nekandiduje,"0,99","0,00","0,00","8,62",nekandiduje,nekandiduje,nekandiduje,"0,14","3,25","24,89","0,00","0,42","22,63",nekandiduje,"0,42","0,28","0,00","11,88","0,42",nekandiduje
553026,Valašská Senice,379,224,223,"7,17","0,00","0,00","6,27",nekandiduje,"0,00","5,82","3,58","0,89","5,82",nekandiduje,"2,24","0,44","0,89","4,03",nekandiduje,nekandiduje,nekandiduje,"0,00","0,44","19,73","0,00","0,00","30,49",nekandiduje,"0,44","0,00","0,00","10,76","0,89",nekandiduje
545058,Valašské Meziøíèí,18 229,10 963,10 883,"10,17","0,04","0,08","6,35",nekandiduje,"0,08","2,98","5,52","1,13","0,55",nekandiduje,"2,14","0,09","0,08","9,32",nekandiduje,nekandiduje,nekandiduje,"0,13","3,28","34,33","0,06","0,17","9,59",nekandiduje,"0,70","0,14","0,09","12,58","0,30",nekandiduje
545112,Valašské Pøíkazy,243,159,159,"9,43","0,62","0,00","6,28",nekandiduje,"0,00","5,66","6,91","3,14","0,62",nekandiduje,"0,62","0,00","0,62","7,54",nekandiduje,nekandiduje,nekandiduje,"0,00","4,40","20,75","0,00","0,62","22,01",nekandiduje,"0,00","0,00","0,00","10,06","0,62",nekandiduje
545147,Velká Lhota,415,265,262,"14,12","0,00","0,00","3,43",nekandiduje,"0,00","6,87","4,19","0,38","0,76",nekandiduje,"3,43","0,00","0,00","8,01",nekandiduje,nekandiduje,nekandiduje,"0,00","4,58","29,38","0,00","0,00","12,59",nekandiduje,"0,38","0,38","0,38","11,06","0,00",nekandiduje
545163,Velké Karlovice,2 101,1 285,1 273,"12,09","0,00","0,23","7,85",nekandiduje,"0,00","6,04","6,67","1,33","0,39",nekandiduje,"1,57","0,07","0,39","8,16",nekandiduje,nekandiduje,nekandiduje,"0,00","4,87","21,05","0,00","0,15","16,41",nekandiduje,"0,78","0,15","0,54","10,36","0,78",nekandiduje
545198,Vidèe,1 384,884,877,"11,51","0,11","0,00","8,32",nekandiduje,"0,00","5,92","6,15","0,79","1,02",nekandiduje,"1,14","0,34","0,11","10,83",nekandiduje,nekandiduje,nekandiduje,"0,00","2,05","25,54","0,11","0,11","10,14",nekandiduje,"0,68","0,34","0,00","14,13","0,57",nekandiduje
545210,Vigantice,856,566,563,"19,36","0,00","0,00","5,86",nekandiduje,"0,17","4,44","3,55","1,95","0,35",nekandiduje,"1,59","0,00","1,06","11,36",nekandiduje,nekandiduje,nekandiduje,"0,00","2,66","27,17","0,00","0,00","8,88",nekandiduje,"1,59","0,88","1,06","7,81","0,17",nekandiduje
541630,Vsetín,21 435,12 393,12 307,"11,50","0,32","0,04","8,12",nekandiduje,"0,09","6,38","7,04","1,87","0,67",nekandiduje,"2,14","0,11","0,12","9,23",nekandiduje,nekandiduje,nekandiduje,"0,08","2,94","25,48","0,11","0,21","9,57",nekandiduje,"0,57","0,19","0,12","12,52","0,47",nekandiduje
545236,Zašová,2 358,1 449,1 443,"9,90","0,00","0,13","5,82",nekandiduje,"0,00","4,85","3,74","2,00","0,41",nekandiduje,"2,35","0,00","0,13","9,84",nekandiduje,nekandiduje,nekandiduje,"0,00","3,18","29,79","0,00","0,20","15,93",nekandiduje,"0,41","0,55","0,06","10,04","0,55",nekandiduje
545244,Zdìchov,499,314,311,"8,68","0,32","0,00","5,78",nekandiduje,"0,32","4,82","5,14","1,60","0,32",nekandiduje,"1,28","0,00","0,00","7,39",nekandiduje,nekandiduje,nekandiduje,"0,00","3,21","32,79","0,00","0,32","18,64",nekandiduje,"0,32","0,32","0,32","8,36","0,00",nekandiduje
545252,Zubøí,4 446,2 831,2 805,"8,98","0,03","0,10","7,62",nekandiduje,"0,10","3,88","6,06","0,99","0,92",nekandiduje,"2,67","0,07","0,00","8,23",nekandiduje,nekandiduje,nekandiduje,"0,07","2,38","31,44","0,00","0,03","8,69",nekandiduje,"0,57","1,03","0,24","14,08","1,71",nekandiduje
